STIS,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,chla,DOC
7334,13.2,240,4.19,382,2.73,0.99,4.58,23.13,6.76,,,0.7359,2.08
7336,17.2,247,4.47,378,0.61,0.99,4.56,23.01,6.84,,,0.3789,2.74
7337,11.1,240,4.52,380,6.1,0.99,4.41,22.18,6.77,,,1.3806,2.12
7338,17.9,242,4.58,418,2.61,1,4.44,22.75,6.82,,,0.5522,2.05
7340,16.9,258,4.8,380,4.09,0.93,4.43,22.84,6.77,,,0.1839,2.3
7341,13.6,242,3.6,434,9.72,0.92,4.42,22.41,6.66,,,0.8975,2.03
7342,14.5,325,6.08,479,9.72,0.98,4.45,24.9,7.68,,,0.5286,2.53
7343,13.6,271,4.7,422,8.39,0.96,4.35,23.77,7.47,,,0.6191,2.06
7344,10.1,251,4.35,383,1.86,0.94,4.34,23.46,7.26,,,0.4726,2.23
7346,15.2,363,3.94,531,4.66,0.98,4.48,24.92,7.51,7.34,16.02,0.3376,1.87
7348,10.2,274,5.25,406,9.54,0.95,4.37,24.09,7.29,7.04,15.69,0.7127,2
7349,10.3,273,4.76,400,6.38,0.95,4.35,23.56,7.45,7.06,15.72,1.1624,1.85
7350,17.6,332,6.67,472,3.9,,,,,,,0.2023,2.06
7352,20.9,294,6.35,427,2.88,,,,,,,0.1816,1.84
7353,9.94,202,6.3,448,0.61,,,,,,,1.389,1.94
7354,29.6,311,7.94,490,0.61,,,,,,,0.2667,2.28
7355,16.3,314,10.8,482,0.61,,,,,,,0.4469,2.11
7356,15.3,287,5.39,450,0.61,,,,,,,0.4879,2.6
7358,12.8,317,5.63,488,0.61,,,,,,,0.4592,2.35
7359,12.3,273,7.34,437,6.36,,,,,,,0.7977,2.17
7360,14.5,274,5.21,476,0.61,,,,,,,0.7737,1.86
7362,17.9,259,6.85,493,0.61,,,,,,,0.3849,1.98
7363,13.4,278,6.07,400,6.84,,,,,,,0.5109,1.61
7364,14.5,275,6.3,429,0.61,,,,,,,0.4682,2.08
7366,8.11,301,3.28,487,0.61,,,,,,,2.2986,2.71
7368,15.2,170,5.96,386,0.61,,,,,,,0.9638,2.1
7369,11.3,282,4.74,486,8.86,,,,,,,1.9018,2.26
7370,13.3,292,4,441,2.04,,,,,,,0.5524,2.07
7371,14.7,276,4.94,415,2.78,,,,,,,0.5588,1.93
7372,13.8,243,3.94,422,0.61,,,,,,,0.2383,1.72
7374,14.2,296,4.82,451,0.61,,,,,,,0.3206,2.4
7375,9.47,283,3.77,369,0.61,,,,,,,0.8516,1.79
7376,18.5,292,5.72,450,3.55,,,,,,,1.0529,1.79
7377,10.3,289,5.2,459,4.52,,,,,,,1.4419,1.74
7378,9.12,234,5.39,361,6.82,,,,,,,0.6171,2.36
7379,14,216,6.51,322,0.61,,,,,,,0.5833,2.21
7380,10.4,219,4.27,338,7.62,,,,,,,0.7243,1.99
7382,9.54,243,4.67,404,0.61,,,,,,,0.5694,2.07
7384,46.1,258,12.6,442,0.61,,,,,,,0.6958,2.03
7385,28,234,10.2,371,0.61,,,,,,,1.5266,2.1
7386,11.3,238,5.23,365,0.61,,,,,,,0.8017,1.97
7388,18.2,279,6.17,300,3.23,,,,,,,0.3083,1.68
7389,12.5,280,5.14,424,0.61,,,,,,,1.4667,1.76
7600,29.6,249,5.43,357,0.61,0.77,3.35,17.73,5.17,5.07,11.5,1.345,2.38
7601,18.9,244,4.34,405,0.61,0.71,2.91,16.68,4.58,4.13,9.62,1.344,2
7602,,,,,,1.17,7.5,27.93,8.5,12.14,24.22,,
7603,22.5,256,5.01,414,0.61,0.86,3.73,18.97,5.86,5.36,12.61,0.7349,4.03
7604,24.2,254,5.75,414,2.46,0.85,3.58,18.17,5.66,5.06,11.9,1.011,3.09
