SiteID, Epischuralacustris, Eurytemoracarolleea, Leptodiaptomusashlandi, Leptodiaptomusminutus, Leptodiaptomussicilis, Limnocalanusmacrurus, Senecellacalanoides, Skistodiaptomusoregonensis, Diacyclopsnanus, Diacyclopsthomasi, Mesocyclopsedax, Microcyclopsvaricans, Tropocyclopsprasinusmexicanus, Alonaspp, Alonella, Bosminalongirostris, Bosminaspp, Bythotrepheslongimanus, Cercopagispengoi, Ceriodaphniaspp, Chydorussp, Daphniagaleatamendotae, Daphnialongiremis, Daphniaparvula, Daphniaretrocurva, Daphniaspp, Diaphanosomaspp, Eubosminacoregoni, Eurycercuslamellatus, Holopediumgibberum, Leptodorakindti, Polyphemuspediculus, Harpacticoidcopepodites, Calanoidcopepodites, Epischuracopepodites, Limnocalanuscopepodites, Senecellacopepodites, Cyclopscopepodites, Mysisdiluviana
 Ztx153-22354 ,72,0,0,369,0,0,0,18,0,0,0,0,9,0,0,279,0,5,0,0,27,54,0,0,0,0,0,0,0,18,0,0,0,1161,2034,0,0,243,0
 Ztx153-22614 ,441,0,252,1134,0,0,0,567,0,63,189,0,189,0,0,18081,0,15,0,189,378,4221,0,0,0,0,693,0,0,63,126,0,0,3969,945,0,0,1701,0
 Ztx153-22150 ,770,41,163,325,405,41,0,122,0,446,729,41,0,0,0,10044,0,10,0,41,810,770,0,0,41,0,41,41,0,122,0,0,0,4536,810,0,0,2106,0
 Ztx153-22310 ,304,51,0,203,51,0,0,101,0,51,354,0,203,0,0,21412,202,9,0,51,1212,3788,0,0,1061,0,51,303,0,202,0,0,51,3889,657,0,0,4899,0
 Ztx153-22350 ,105,0,0,418,0,0,0,29,0,0,19,0,10,0,0,380,0,7,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,1501,1463,0,0,380,0
 Ztx153-22610 ,868,145,0,3180,0,0,0,2746,0,145,3613,0,579,0,0,53176,0,89,0,0,8237,12572,0,0,0,0,1301,0,0,434,0,0,0,9248,723,0,0,6647,0
 Ztx153-22650 ,24,0,71,847,24,0,0,0,0,24,118,0,0,0,0,1504,0,10,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,5546,1739,0,0,658,0
 Ztx153-22190 ,10,0,195,1085,115,5,0,20,0,155,10,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,35,5,5,160,0
 Ztx153-22654 ,845,0,1040,2340,0,325,0,65,0,1365,260,0,0,0,0,2210,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26260,5265,130,65,4420,0
 Ztx153-22194 ,0,0,354,1316,398,9,9,9,0,468,9,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,18,150,9,159,0
 Ztx153-NA ,12,12,12,233,0,0,0,0,0,0,0,0,0,0,0,4202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,600,625,0,0,61,0
 Ztx153-22198 ,0,0,8984,2939,3560,57,0,114,0,5085,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10453,0,1469,57,1300,0
