STIS,Depth,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,chla,DOC,TSS,VSS
7203,Mid,6.97,290,4.48,394,3.99,1.02,4.42,25.99,7.59,7.21,16.04,1.1349,1.53,0.2,0.12
7204,Epi,15.7,310,3.63,437,7.28,1.05,4.64,27.17,7.91,7.84,16.23,0.3517,1.65,0.315,0.15
7205,Mid,14.3,303,4.46,429,3.21,1.04,4.6,26.32,7.64,7.5,16.08,0.5794,1.57,0.513,0.246
7206,Bottom ,14.5,282,4.33,414,5.04,1.02,4.49,25.56,7.57,7.45,16,0.7731,1.53,0.508,0.087
7208,Epi,19,243,4.71,493,4.24,1,4.43,27.65,7.8,7.5,16.06,0.4607,1.57,0.36,0.265
7210,Bottom ,18.4,293,4.68,398,7.76,0.96,4.28,26.34,7.69,7.04,15.69,0.3927,1.53,0.18,0.135
7211,Mid,19.2,289,4.89,408,2.82,0.97,4.18,26.26,7.67,7.01,15.66,0.698,1.53,0.32,0.215
7212,Epi,30.6,274,4.74,427,0.61,0.97,4.3,26.77,7.66,7.07,15.78,0.293,1.66,0.235,0.135
7214,Bottom ,14.8,262,4.53,405,0.61,0.97,4.25,26.79,7.73,7.11,15.82,0.6933,1.58,0.04,0.035
7215,Mid,14.5,296,5.3,393,0.61,0.97,4.32,26.96,7.73,7.08,15.78,0.7176,1.55,0.225,0.14
7290,Bottom ,20,243,4.9,368,0.61,0.79,3.69,21.56,5.82,,,1.0896,3.33,0.653,0.193
7291,Mid,17.6,245,5.1,390,1.6,0.78,3.46,20.99,5.44,,,1.0898,4.88,0.887,0.38
7292,Epi,15.7,242,5.84,354,11.2,0.72,3.12,18.84,5.05,,,1.0103,4.3,0.693,0.067
7294,Epi,10.5,242,3.5,366,15,0.67,2.7,17.5,4.61,,,1.308,2.11,0.88,0.367
7295,Mid,19,264,5.1,389,0.61,0.87,3.7,21.9,5.94,,,1.2885,2.23,0.387,0.02
7296,Bottom ,16.4,273,4.51,378,10.6,0.87,3.73,23.15,6.34,,,0.4482,2.38,0.3,0.02
7298,Epi,12.3,172,4.86,330,4.36,0.83,4.18,18.89,4.99,,,1.8035,2.98,0.66,0.567
7299,Mid,13.2,209,5.33,347,25.1,0.85,3.84,21.4,5.7,,,1.267,2.31,0.56,0.373
7300,Bottom ,22.9,200,6.61,334,0.61,0.85,3.89,21.75,5.85,,,0.9402,4.19,0.547,0.453
7302,Epi,9.74,210,2.09,371,7.16,0.83,3.75,21.08,5.74,,,1.0351,2.27,0.493,0.473
7303,Mid,21.9,233,6.4,352,2.78,0.89,4.05,22.11,6.11,,,0.9246,2.31,0.273,0.26
7304,Bottom ,17.6,263,4.72,382,7.38,0.89,3.85,22.75,6.35,,,0.3888,2.02,0.247,0.02
7306,Epi,11.8,209,4.82,361,12.1,0.89,4.04,22.68,6.12,6.45,13.13,0.4313,2.72,0.127,0.013
7307,Mid,6.68,205,3.8,331,3.23,0.89,4.04,22.21,6.2,6.48,13.24,0.4521,2.51,0.347,0.293
7308,Bottom ,15.4,221,5.03,340,12.9,0.9,4.11,22.97,6.38,6.53,13.43,0.7405,2.49,0.153,0.013
7310,Epi,15.3,214,0.553,345,1.62,0.89,4.2,22.01,6.19,,,0.4045,2.18,0.273,0.033
7311,Mid,15.9,236,4.92,358,5.6,0.97,4.4,24.09,6.8,,,0.6707,1.91,0.233,0.067
7312,Bottom ,12.4,132,4.08,367,6.04,0.92,4.07,23.98,6.72,,,0.617,1.74,0.147,0.133
7314,Epi,15.7,226,3.91,354,5.52,0.92,4.02,22.78,6.58,6.79,14.03,0.3172,2.07,0.373,0.087
7315,Mid,9.83,244,3.96,402,4.99,0.81,3.11,20.9,5.4,6.91,14.22,0.9548,1.94,0.94,0.293
7316,Bottom ,18.5,253,4.56,377,14.3,0.83,3.13,21.58,5.56,6.93,14.34,0.6341,1.9,0.067,0.14
7318,Epi,18.1,214,3.9,346,1.61,0.76,3.39,19,4.66,,,0.5164,2.61,0.32,0.26
7319,Mid,16.3,210,3.8,369,5.89,0.8,3.42,19.66,4.72,,,0.5114,2.48,0.313,0.147
7320,Bottom ,26.6,223,5.68,357,1.34,0.88,4.63,23.49,6.41,,,0.7334,2.38,0.273,0.247
7322,Epi,19.4,227,5.17,387,17.4,0.89,4.51,23.68,6.25,,,0.5523,2.31,0.253,0.253
7324,Bottom ,22.7,255,5.48,374,4.2,0.9,4.18,24.96,6.79,,,0.2854,2.14,0.093,0.067
7325,Mid,15.5,231,4.57,353,0.61,0.89,4.32,22.1,6.65,,,1.1962,2.34,0.26,0.013
7326,Epi,14.5,244,4.53,381,0.61,0.95,4.4,22.14,6.68,,,0.3265,2.21,0.067,0.047
