STIS,Month,MonthPeriod,Ship,Lake,Site,Area,DFS,Research Project,UnifiedDate,Collection Date,TimeEST, SiteDepthm,Depth,Separatedepthsm,DCL,StratifiedUnstratified,NH4ugNL ,NOxugNL,SRPugPL,TNugNL,TPugPL,KmgL,NamgL,CamgL,MgmgL,ClmgL,SO4mgL,DOCmgCL,SimgSiO2L,chlaugL
22162A,Aug,Aug,LEII,Lake Huron,Harbor Beach 18,SMB,Midshore,CSMI,8/4/2022,8/4/2022,12:05,19.1,Epi,5,No,Stratified,21.3,270,3.44,399,3.34,0.94,4.75,24.7,7.55,8.35,15.19,2.17,4.43,1.3
22163A,Aug,Aug,LEII,Lake Huron,Harbor Beach 18,SMB,Midshore,CSMI,8/4/2022,8/4/2022,12:05,19.1,Mid,9.5,No,Stratified,34.3,284,3.48,415,5.3,0.9,4.56,23.35,7.36,8.05,15.25,2.28,4.58,0.94
22164A,Aug,Aug,LEII,Lake Huron,Harbor Beach 18,SMB,Midshore,CSMI,8/4/2022,8/4/2022,12:05,19.1,Bottom,17.3,No,Stratified,32,294,3.47,417,4.63,0.94,4.51,23.97,7.51,8.08,15.3,2.1,4.69,0.6
22166,June,E June,LEII,Lake Huron,Harbor Beach 46,SMB,Midshore,CSMI,6/7/2022,6/7/2022,10:34,47.9,Epi,5,No,Stratified,13.03,338,3.49,487,3.43,0.89,4.74,23.83,7.63,8.42,16.18,1.87,4.17,0.57
22167,June,E June,LEII,Lake Huron,Harbor Beach 46,SMB,Midshore,CSMI,6/7/2022,6/7/2022,10:34,47.9,Mid,25,No,Stratified,12.47,309,3.44,410,5.81,0.9,4.46,23.1,7.43,7.94,16.04,1.81,5.01,0.54
22168,June,E June,LEII,Lake Huron,Harbor Beach 46,SMB,Midshore,CSMI,6/7/2022,6/7/2022,10:34,47.9,Bottom,45,No,Stratified,14.37,303,3.45,414,3.42,1.05,4.41,24.22,7.62,7.75,15.86,1.94,5.01,0.51
22322,June,L June,USGS,Lake Huron,Harbor Beach 46,SMB,Midshore,CSMI -USGS biweekly sampling,6/20/2022,6/20/2022,,,Epi,5,,,,,,528,4.48,,,,,,,,,0.38
22323,June,L June,USGS,Lake Huron,Harbor Beach 46,SMB,Midshore,CSMI -USGS biweekly sampling,6/20/2022,6/20/2022,,,Mid,21,,,,,,540,3.54,,,,,,,,,0.42
22324,June,L June,USGS,Lake Huron,Harbor Beach 46,SMB,Midshore,CSMI -USGS biweekly sampling,6/20/2022,6/20/2022,,,Bottom,45,,,,,,532,3.59,,,,,,,,,0.26
22338,July,E July,USGS,Lake Huron,Harbor Beach 46,SMB,Midshore,CSMI -USGS biweekly sampling,7/10/2022,7/10/2022,,,Epi,5,,,,,,628,3.99,,,,,,,,,0.68
22339,July,E July,USGS,Lake Huron,Harbor Beach 46,SMB,Midshore,CSMI -USGS biweekly sampling,7/10/2022,7/10/2022,,,Mid,17,,,,,,559,5.36,,,,,,,,,0.63
22340,July,E July,USGS,Lake Huron,Harbor Beach 46,SMB,Midshore,CSMI -USGS biweekly sampling,7/10/2022,7/10/2022,,,Bottom,45,,,,,,471,4.86,,,,,,,,,0.81
22362,July,L July,USGS,Lake Huron,Harbor Beach 46,SMB,Midshore,CSMI -USGS biweekly sampling,7/17/2022,7/17/2022,,,Epi,5,,,,,,447,3.74,,,,,,,,,0.7
22363,July,L July,USGS,Lake Huron,Harbor Beach 46,SMB,Midshore,CSMI -USGS biweekly sampling,7/17/2022,7/17/2022,,,Mid,20,,,,,,476,3.19,,,,,,,,,0.86
22364,July,L July,USGS,Lake Huron,Harbor Beach 46,SMB,Midshore,CSMI -USGS biweekly sampling,7/17/2022,7/17/2022,,,Bottom,44,,,,,,465,1.62,,,,,,,,,0.76
22166A,Aug,Aug,LEII,Lake Huron,Harbor Beach 46,SMB,Midshore,CSMI,8/4/2022,8/4/2022,14:25,47.5,Epi,5,No,Stratified,16.4,264,2.77,401,2.8,0.95,4.88,24.03,7.75,8.8,15.46,2.27,4.24,1.65
22167A,Aug,Aug,LEII,Lake Huron,Harbor Beach 46,SMB,Midshore,CSMI,8/4/2022,8/4/2022,14:25,47.5,Mid,17,No,Stratified,14.3,307,3.1,414,5.41,0.89,4.45,23.58,7.51,8.08,15.3,2.12,4.58,0.98
22168A,Aug,Aug,LEII,Lake Huron,Harbor Beach 46,SMB,Midshore,CSMI,8/4/2022,8/4/2022,14:25,47.5,Bottom,45.5,No,Stratified,19.6,329,3.42,413,3.35,0.92,4.59,24.04,7.61,8.36,15.51,2.03,5.31,0.56
