STIS,StationCode,DFS,Month,Area,Year
22323,Harbor Beach 46,Midshore,Late June,SMB,2022
22324,Harbor Beach 46,Midshore,Late June,SMB,2022
22326,Harbor Beach 63,Offshore,Late June,SMB,2022
22328,Harbor Beach 63,Offshore,Late June,SMB,2022
22329,Harbor Beach 63,Offshore,Late June,SMB,2022
22330,Saginaw Bay 10,Nearshore,Early July,SB,2022
22331,Saginaw Bay 10,Nearshore,Early July,SB,2022
22334,Harbor Beach 18,Midshore,Early July,SMB,2022
22335,Harbor Beach 18,Midshore,Early July,SMB,2022
22336,Harbor Beach 18,Midshore,Early July,SMB,2022
22338,Harbor Beach 46,Midshore,Early July,SMB,2022
22339,Harbor Beach 46,Midshore,Early July,SMB,2022
22340,Harbor Beach 46,Midshore,Early July,SMB,2022
22342,Harbor Beach 63,Offshore,Early July,SMB,2022
22343,Harbor Beach 63,Offshore,Early July,SMB,2022
22344,Harbor Beach 63,Offshore,Early July,SMB,2022
22346,Saginaw Bay 10,Nearshore,Late July,SB,2022
22348,Saginaw Bay 10,Nearshore,Late July,SB,2022
22350,Saginaw Bay 9,Nearshore,Late July,SB,2022
22352,Saginaw Bay 9,Nearshore,Late July,SB,2022
22354,Saginaw Bay 13,Nearshore,Late July,SB,2022
22355,Saginaw Bay 13,Nearshore,Late July,SB,2022
22356,Saginaw Bay 13,Nearshore,Late July,SB,2022
22358,Harbor Beach 18,Midshore,Late July,SMB,2022
22359,Harbor Beach 18,Midshore,Late July,SMB,2022
22360,Harbor Beach 18,Midshore,Late July,SMB,2022
22362,Harbor Beach 46,Midshore,Late July,SMB,2022
22363,Harbor Beach 46,Midshore,Late July,SMB,2022
22364,Harbor Beach 46,Midshore,Late July,SMB,2022
22366,Harbor Beach 63,Offshore,Late July,SMB,2022
22367,Harbor Beach 63,Offshore,Late July,SMB,2022
22368,Harbor Beach 63,Offshore,Late July,SMB,2022
22370,Boot Island 18,Midshore,Late July,NMB,2022
22371,Boot Island 18,Midshore,Late July,NMB,2022
22372,Boot Island 18,Midshore,Late July,NMB,2022
22374,Boot Island 46,Midshore,Late July,NMB,2022
22376,Boot Island 46,Midshore,Late July,NMB,2022
22377,Boot Island 46,Midshore,Late July,NMB,2022
22378,Boot Island 73,Offshore,Late July,NMB,2022
22379,Boot Island 73,Offshore,Late July,NMB,2022
22380,Boot Island 73,Offshore,Late July,NMB,2022
22382,Thessallon River 18,Midshore,Late July,NC,2022
22383,Thessallon River 18,Midshore,Late July,NC,2022
22384,Thessallon River 18,Midshore,Late July,NC,2022
22386,Thessallon River 46,Midshore,Late July,NC,2022
22388,Thessallon River 46,Midshore,Late July,NC,2022
22389,Thessallon River 46,Midshore,Late July,NC,2022
22390,Thessallon River 46 Off,Offshore,Late July,NC,2022
22391,Thessallon River 46 Off,Offshore,Late July,NC,2022
22392,Thessallon River 46 Off,Offshore,Late July,NC,2022
22090A,Spanish River 5,Nearshore,Aug,NC,2022
22094A,Spanish River 18,Midshore,Aug,NC,2022
22096A,Spanish River 18,Midshore,Aug,NC,2022
22098A,Spanish River 46,Midshore,Aug,NC,2022
22099A,Spanish River 46,Midshore,Aug,NC,2022
22100A,Spanish River 46,Midshore,Aug,NC,2022
22102A,French River 5,Nearshore,Aug,GB,2022
22106A,French River 18,Midshore,Aug,GB,2022
22108A,French River 18,Midshore,Aug,GB,2022
22110A,French River 46,Midshore,Aug,GB,2022
22112A,French River 46,Midshore,Aug,GB,2022
22113A,French River 46,Midshore,Aug,GB,2022
22114A,French River 82,Offshore,Aug,GB,2022
22116A,French River 82,Offshore,Aug,GB,2022
22117A,French River 82,Offshore,Aug,GB,2022
22126A,Parry Sound 46,Midshore,Aug,GB,2022
22128A,Parry Sound 46,Midshore,Aug,GB,2022
22129A,Parry Sound 46,Midshore,Aug,GB,2022
22138A,Nottawasaga River 18,Midshore,Aug,GB,2022
22139A,Nottawasaga River 18,Midshore,Aug,GB,2022
22140A,Nottawasaga River 18,Midshore,Aug,GB,2022
22142A,Nottawasaga River 46,Midshore,Aug,GB,2022
22144A,Nottawasaga River 46,Midshore,Aug,GB,2022
22145A,Nottawasaga River 46,Midshore,Aug,GB,2022
22146A,Nottawasaga River 82,Offshore,Aug,GB,2022
22148A,Nottawasaga River 82,Offshore,Aug,GB,2022
22149A,Nottawasaga River 82,Offshore,Aug,GB,2022
22150A,Saginaw Bay 9,Nearshore,Aug,SB,2022
22152A,Saginaw Bay 9,Nearshore,Aug,SB,2022
22154A,Saginaw Bay 13,Nearshore,Aug,SB,2022
22155A,Saginaw Bay 13,Nearshore,Aug,SB,2022
22156A,Saginaw Bay 13,Nearshore,Aug,SB,2022
22158A,Harbor Beach 5,Nearshore,Aug,SMB,2022
22162A,Harbor Beach 18,Midshore,Aug,SMB,2022
22163A,Harbor Beach 18,Midshore,Aug,SMB,2022
22164A,Harbor Beach 18,Midshore,Aug,SMB,2022
22166A,Harbor Beach 46,Midshore,Aug,SMB,2022
22167A,Harbor Beach 46,Midshore,Aug,SMB,2022
22168A,Harbor Beach 46,Midshore,Aug,SMB,2022
22170A,Harbor Beach 63,Offshore,Aug,SMB,2022
22171A,Harbor Beach 63,Offshore,Aug,SMB,2022
22172A,Harbor Beach 63,Offshore,Aug,SMB,2022
22174A,Maitland River 5,Nearshore,Aug,SMB,2022
22178A,Maitland River 18,Midshore,Aug,SMB,2022
22179A,Maitland River 18,Midshore,Aug,SMB,2022
22180A,Maitland River 18,Midshore,Aug,SMB,2022
22182A,Maitland River 46,Midshore,Aug,SMB,2022
22183A,Maitland River 46,Midshore,Aug,SMB,2022
22184A,Maitland River 46,Midshore,Aug,SMB,2022
22186A,Maitland River 73,Offshore,Aug,SMB,2022
22188A,Maitland River 73,Offshore,Aug,SMB,2022
22189A,Maitland River 73,Offshore,Aug,SMB,2022
22190A,Saugeen River 18,Midshore,Aug,NMB,2022
22191A,Saugeen River 18,Midshore,Aug,NMB,2022
22192A,Saugeen River 18,Midshore,Aug,NMB,2022
22194A,Saugeen River 46,Midshore,Aug,NMB,2022
22195A,Saugeen River 46,Midshore,Aug,NMB,2022
